Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
Phishing,IT,400964,Nation-state,Weak Passwords,19,13.05
DDoS,Telecommunications,192293,Nation-state,Weak Passwords,57,52.94
Man-in-the-Middle,Banking,565292,Insider,Unpatched Software,27,26.02
Phishing,Education,774750,Nation-state,Social Engineering,70,9.23
Phishing,IT,666996,Insider,Weak Passwords,59,78.2
Malware,Healthcare,21382,Unknown,Weak Passwords,21,94.12
Phishing,Telecommunications,463525,Nation-state,Unpatched Software,59,55.14
Ransomware,Telecommunications,905673,Insider,Weak Passwords,54,16.98
Man-in-the-Middle,Retail,619881,Nation-state,Unpatched Software,42,30.59
Malware,Banking,987350,Insider,Zero-day,4,20.27
Phishing,Education,849084,Nation-state,Zero-day,62,97.32
Man-in-the-Middle,Education,799627,Hacker Group,Weak Passwords,36,13.06
Man-in-the-Middle,Education,307155,Unknown,Unpatched Software,28,87.39
Ransomware,Retail,989106,Unknown,Zero-day,3,88.36
Man-in-the-Middle,Retail,129144,Hacker Group,Weak Passwords,25,84.77
Malware,Government,767562,Unknown,Zero-day,61,57.81
Malware,IT,956965,Hacker Group,Unpatched Software,40,74.03
Phishing,Retail,291580,Unknown,Unpatched Software,25,87.55
Ransomware,Education,950276,Hacker Group,Unpatched Software,31,76.96
Man-in-the-Middle,Telecommunications,932075,Unknown,Unpatched Software,72,89.07
DDoS,Healthcare,931456,Hacker Group,Zero-day,22,33.96
Ransomware,Retail,983880,Nation-state,Unpatched Software,54,28.77
DDoS,Education,20680,Nation-state,Social Engineering,29,18.49
Malware,Education,437056,Hacker Group,Zero-day,52,21.39
Malware,Government,769222,Insider,Weak Passwords,32,57.91
Malware,Government,436928,Unknown,Social Engineering,34,4.5
DDoS,Healthcare,340194,Unknown,Weak Passwords,44,38.67
DDoS,IT,612030,Nation-state,Unpatched Software,47,44.01
Man-in-the-Middle,IT,551100,Insider,Zero-day,9,87.89
Phishing,IT,251768,Unknown,Social Engineering,6,26.02
DDoS,Retail,680720,Nation-state,Zero-day,2,11.69
DDoS,Telecommunications,156213,Nation-state,Weak Passwords,9,51.69
Man-in-the-Middle,Retail,468856,Hacker Group,Unpatched Software,15,33.75
Ransomware,Government,90678,Nation-state,Unpatched Software,22,63.45
DDoS,Retail,554585,Hacker Group,Social Engineering,63,45.73
Man-in-the-Middle,Banking,935265,Nation-state,Unpatched Software,20,33.3
SQL Injection,Banking,459922,Nation-state,Zero-day,12,43.96
DDoS,Healthcare,782873,Hacker Group,Zero-day,4,6.72
Ransomware,Banking,528708,Unknown,Social Engineering,14,53.03
SQL Injection,Healthcare,513096,Hacker Group,Weak Passwords,57,38.89
DDoS,Education,636407,Hacker Group,Zero-day,11,79.5
Ransomware,Retail,419557,Unknown,Weak Passwords,2,38.02
DDoS,Healthcare,784099,Insider,Social Engineering,30,47.47
Malware,Telecommunications,37870,Nation-state,Zero-day,31,71.18
Malware,IT,291590,Hacker Group,Zero-day,22,4.08
SQL Injection,Telecommunications,444408,Unknown,Weak Passwords,64,15.96
Malware,Banking,526658,Nation-state,Weak Passwords,38,56.13
Malware,Retail,333238,Hacker Group,Social Engineering,20,30.53
DDoS,Retail,449936,Insider,Weak Passwords,52,31.36
Malware,Retail,61238,Unknown,Unpatched Software,41,71.05
Malware,Education,916209,Unknown,Zero-day,50,24.93
DDoS,Banking,762440,Nation-state,Unpatched Software,19,13.97
Malware,Banking,248859,Nation-state,Social Engineering,33,92.2
SQL Injection,IT,645774,Hacker Group,Social Engineering,7,47.8
Man-in-the-Middle,Healthcare,218189,Unknown,Weak Passwords,48,61.55
Man-in-the-Middle,Banking,623301,Hacker Group,Social Engineering,40,66.47
Ransomware,Education,195872,Hacker Group,Social Engineering,22,10.32
SQL Injection,IT,807745,Nation-state,Unpatched Software,71,76.36
Ransomware,Healthcare,50385,Unknown,Unpatched Software,10,25.49
Malware,Telecommunications,377769,Hacker Group,Zero-day,38,73.71
Ransomware,Telecommunications,355256,Hacker Group,Unpatched Software,51,99.41
DDoS,Government,478549,Hacker Group,Weak Passwords,37,65.57
Malware,Retail,125300,Insider,Weak Passwords,11,60.85
Ransomware,Education,608196,Insider,Weak Passwords,25,34.54
Phishing,Government,27694,Unknown,Weak Passwords,30,43.49
Man-in-the-Middle,Retail,29840,Hacker Group,Weak Passwords,63,30.38
Phishing,Banking,720643,Unknown,Social Engineering,19,4.59
Man-in-the-Middle,IT,775866,Insider,Weak Passwords,69,54.54
Phishing,Retail,671335,Hacker Group,Zero-day,62,95.86
DDoS,Banking,276199,Insider,Weak Passwords,28,98.07
Ransomware,IT,534962,Unknown,Weak Passwords,59,75.49
Phishing,Telecommunications,758516,Hacker Group,Zero-day,16,62.8
Phishing,Education,943662,Unknown,Weak Passwords,47,82.18
Ransomware,Government,257068,Hacker Group,Social Engineering,17,99.3
DDoS,Education,75167,Insider,Unpatched Software,13,66.04
SQL Injection,Retail,3200,Insider,Weak Passwords,43,88.18
Ransomware,IT,917016,Unknown,Weak Passwords,39,60.82
SQL Injection,Banking,760892,Hacker Group,Zero-day,22,40.31
SQL Injection,Telecommunications,204624,Unknown,Unpatched Software,33,1.47
DDoS,Healthcare,324899,Insider,Unpatched Software,57,16.65
Ransomware,Government,472878,Unknown,Social Engineering,37,96.44
Malware,Retail,804221,Nation-state,Zero-day,68,13.77
Ransomware,Banking,514319,Hacker Group,Zero-day,37,54.09
Man-in-the-Middle,Education,180599,Insider,Social Engineering,4,2.17
SQL Injection,Retail,129677,Hacker Group,Unpatched Software,60,61.83
Ransomware,Telecommunications,999508,Unknown,Unpatched Software,23,99.88
SQL Injection,Healthcare,915247,Nation-state,Zero-day,52,3.92
Man-in-the-Middle,Education,685261,Nation-state,Unpatched Software,36,50.99
DDoS,Government,48515,Hacker Group,Social Engineering,50,34.8
Man-in-the-Middle,Government,613786,Nation-state,Unpatched Software,24,49.37
DDoS,Education,228033,Nation-state,Unpatched Software,43,61.23
SQL Injection,Education,862718,Hacker Group,Weak Passwords,44,95.54
Ransomware,Healthcare,924837,Hacker Group,Unpatched Software,62,16.77
SQL Injection,Government,876850,Insider,Weak Passwords,8,20.36
Phishing,Banking,556014,Nation-state,Unpatched Software,11,10.56
Phishing,Government,974362,Insider,Unpatched Software,70,42.82
Man-in-the-Middle,IT,725608,Insider,Zero-day,15,68.68
Man-in-the-Middle,Education,386691,Nation-state,Weak Passwords,20,6.79
SQL Injection,Government,402855,Insider,Social Engineering,26,40.98
Phishing,Healthcare,518357,Insider,Weak Passwords,42,25.66
Phishing,Banking,724633,Hacker Group,Weak Passwords,26,29.35
Ransomware,IT,742272,Nation-state,Zero-day,64,6.74
Malware,IT,650093,Unknown,Social Engineering,58,83.09
Phishing,Banking,755165,Hacker Group,Social Engineering,28,94.32
DDoS,IT,581923,Hacker Group,Social Engineering,63,67.12
Man-in-the-Middle,Retail,637189,Hacker Group,Unpatched Software,56,76.83
DDoS,Retail,513625,Nation-state,Weak Passwords,37,70.37
Phishing,Government,499142,Nation-state,Unpatched Software,70,22.46
Phishing,Healthcare,8334,Unknown,Zero-day,13,17.64
Phishing,Government,617277,Insider,Social Engineering,4,37.3
Man-in-the-Middle,Education,614662,Unknown,Weak Passwords,37,2.17
DDoS,Banking,755185,Unknown,Weak Passwords,20,99.99
DDoS,IT,839882,Nation-state,Social Engineering,7,37.84
Ransomware,Education,852965,Nation-state,Weak Passwords,39,86.8
Man-in-the-Middle,Banking,566386,Insider,Unpatched Software,45,3.69
Phishing,IT,402903,Insider,Zero-day,55,73.85
DDoS,Retail,261266,Hacker Group,Weak Passwords,63,0.5
Malware,IT,899215,Hacker Group,Weak Passwords,59,91.94
Man-in-the-Middle,Education,455900,Hacker Group,Zero-day,11,35.37
SQL Injection,Government,391049,Unknown,Weak Passwords,35,69.61
Ransomware,Government,694660,Unknown,Weak Passwords,29,81.53
DDoS,IT,650469,Unknown,Unpatched Software,58,63.96
SQL Injection,IT,247149,Nation-state,Unpatched Software,47,68.17
DDoS,Education,645578,Insider,Weak Passwords,56,15.54
SQL Injection,Government,848517,Unknown,Unpatched Software,16,67.05
Malware,Healthcare,897755,Hacker Group,Social Engineering,61,25.19
Ransomware,Government,999635,Nation-state,Weak Passwords,24,93.34
Phishing,Government,767721,Unknown,Weak Passwords,9,87.27
Phishing,IT,629687,Unknown,Social Engineering,53,33.15
Phishing,Retail,517843,Unknown,Unpatched Software,69,38.5
DDoS,Healthcare,807631,Nation-state,Weak Passwords,56,20.92
Phishing,Retail,354954,Nation-state,Social Engineering,14,98.95
SQL Injection,Healthcare,839368,Insider,Unpatched Software,40,54.26
DDoS,Healthcare,910081,Nation-state,Zero-day,28,10.77
Phishing,IT,979700,Hacker Group,Weak Passwords,49,87.42
Man-in-the-Middle,Telecommunications,586131,Nation-state,Unpatched Software,68,58.78
Phishing,Education,317988,Nation-state,Zero-day,2,82.47
Ransomware,Government,11241,Hacker Group,Weak Passwords,4,43.11
Phishing,Education,381599,Unknown,Weak Passwords,66,97.98
SQL Injection,Education,347293,Nation-state,Unpatched Software,65,16.5
Ransomware,IT,82321,Unknown,Zero-day,47,86.23
SQL Injection,Retail,460558,Nation-state,Zero-day,61,49.76
Man-in-the-Middle,Telecommunications,828280,Hacker Group,Social Engineering,62,62.83
Malware,Education,287352,Unknown,Zero-day,69,20.14
Ransomware,Government,946651,Insider,Unpatched Software,67,25.9
Phishing,Education,954423,Unknown,Unpatched Software,6,88.43
Ransomware,Banking,979382,Nation-state,Social Engineering,43,32.56
DDoS,Government,12372,Nation-state,Social Engineering,29,58.67
Phishing,IT,195044,Unknown,Unpatched Software,20,6.49
Ransomware,Telecommunications,721984,Nation-state,Weak Passwords,44,34.93
DDoS,Education,654253,Insider,Weak Passwords,35,71.55
Malware,Healthcare,686119,Insider,Weak Passwords,25,23.01
Man-in-the-Middle,Healthcare,776634,Unknown,Weak Passwords,33,93.91
Ransomware,IT,698224,Insider,Unpatched Software,21,41.09
Malware,Government,88821,Unknown,Zero-day,39,86.77
Man-in-the-Middle,Banking,846546,Unknown,Unpatched Software,51,53.95
Man-in-the-Middle,Retail,117819,Nation-state,Zero-day,15,14.04
Man-in-the-Middle,IT,465446,Unknown,Unpatched Software,51,70.97
Malware,Healthcare,184554,Unknown,Zero-day,39,75.72
Phishing,IT,520480,Insider,Weak Passwords,66,48.71
Malware,Government,294668,Nation-state,Social Engineering,17,50.61
Man-in-the-Middle,Healthcare,892665,Insider,Unpatched Software,31,54.54
Ransomware,Healthcare,80926,Hacker Group,Unpatched Software,19,87.42
Ransomware,Education,884536,Insider,Zero-day,34,80.77
SQL Injection,Healthcare,445422,Unknown,Unpatched Software,70,3.73
Ransomware,Government,376628,Unknown,Zero-day,30,52.28
Man-in-the-Middle,Banking,378949,Unknown,Weak Passwords,67,70.89
Phishing,IT,26036,Hacker Group,Weak Passwords,71,35.27
DDoS,Government,191369,Insider,Unpatched Software,65,40.98
Phishing,IT,899005,Insider,Weak Passwords,61,93.62
Man-in-the-Middle,Education,119348,Nation-state,Unpatched Software,48,20.57
Man-in-the-Middle,Telecommunications,610106,Unknown,Social Engineering,39,21.8
SQL Injection,Education,239853,Insider,Unpatched Software,64,28.19
Ransomware,Telecommunications,419344,Hacker Group,Zero-day,59,99.83
SQL Injection,Healthcare,428415,Hacker Group,Zero-day,69,45.85
Malware,Banking,169113,Insider,Weak Passwords,55,47.14
Phishing,Government,867302,Unknown,Social Engineering,55,24.06
DDoS,IT,821848,Insider,Unpatched Software,60,63.87
Malware,Government,982719,Unknown,Social Engineering,26,35.96
DDoS,Education,769794,Nation-state,Zero-day,29,76.22
Phishing,IT,957199,Hacker Group,Social Engineering,49,29.42
Ransomware,Education,431174,Unknown,Weak Passwords,24,65.73
Ransomware,Education,483598,Insider,Zero-day,29,44.39
Malware,IT,661385,Hacker Group,Zero-day,26,80.49
Malware,Education,878362,Nation-state,Unpatched Software,57,60.13
Man-in-the-Middle,Healthcare,401178,Hacker Group,Unpatched Software,43,56.14
Ransomware,Healthcare,144533,Unknown,Social Engineering,67,11.57
Ransomware,Government,828963,Unknown,Zero-day,2,89.9
Man-in-the-Middle,Government,554294,Unknown,Unpatched Software,42,63.82
Man-in-the-Middle,Banking,844953,Unknown,Weak Passwords,53,22.94
Phishing,IT,581813,Unknown,Social Engineering,20,94.02
Malware,Banking,122728,Unknown,Zero-day,7,9.76
DDoS,Education,267631,Hacker Group,Zero-day,12,39.33
SQL Injection,Retail,755230,Insider,Weak Passwords,31,3.87
Malware,Retail,339119,Unknown,Unpatched Software,29,80.37
SQL Injection,Government,540718,Insider,Zero-day,6,14.72
DDoS,Government,546017,Unknown,Social Engineering,14,85.88
SQL Injection,Retail,96083,Unknown,Weak Passwords,17,48.83
Man-in-the-Middle,Retail,366318,Nation-state,Unpatched Software,35,60.04
Malware,IT,510454,Nation-state,Zero-day,18,86.98
Phishing,Government,68551,Nation-state,Weak Passwords,55,12.62
Ransomware,Healthcare,83374,Insider,Zero-day,45,63.74
Man-in-the-Middle,Banking,981595,Nation-state,Weak Passwords,56,20.44
Phishing,Banking,934436,Unknown,Unpatched Software,64,13.38
Ransomware,Healthcare,461093,Hacker Group,Zero-day,42,79.48
SQL Injection,Retail,214195,Nation-state,Zero-day,54,86.79
SQL Injection,Education,519698,Insider,Social Engineering,30,17.55
Man-in-the-Middle,Healthcare,393738,Nation-state,Zero-day,69,16.71
DDoS,Government,327171,Unknown,Unpatched Software,41,41.75
DDoS,Telecommunications,534069,Nation-state,Social Engineering,6,94.79
SQL Injection,Government,812679,Nation-state,Zero-day,67,68.53
Malware,Education,552241,Hacker Group,Zero-day,50,23.86
SQL Injection,Banking,708357,Unknown,Weak Passwords,49,80.98
Man-in-the-Middle,Government,491008,Hacker Group,Weak Passwords,50,51.41
Phishing,Telecommunications,761576,Insider,Unpatched Software,9,99.98
Ransomware,Government,10206,Hacker Group,Weak Passwords,28,12.64
SQL Injection,Banking,49085,Hacker Group,Weak Passwords,32,92.66
DDoS,Government,131940,Nation-state,Weak Passwords,34,18.69
Phishing,IT,396839,Hacker Group,Zero-day,60,68.5
DDoS,Banking,46824,Hacker Group,Social Engineering,39,76.53
DDoS,IT,705326,Hacker Group,Unpatched Software,19,71.22
Malware,Telecommunications,252949,Insider,Unpatched Software,51,4.52
Phishing,Government,699825,Nation-state,Unpatched Software,60,45.97
Man-in-the-Middle,Banking,882784,Insider,Weak Passwords,31,3.57
DDoS,Education,721334,Insider,Social Engineering,31,92.06
Malware,IT,840225,Unknown,Zero-day,70,71.15
Ransomware,Telecommunications,118118,Unknown,Social Engineering,17,9.74
Phishing,Education,272199,Nation-state,Zero-day,29,30.42
Ransomware,Retail,964115,Nation-state,Unpatched Software,48,59.44
Man-in-the-Middle,Education,171936,Hacker Group,Weak Passwords,70,27.58
Malware,Healthcare,841903,Unknown,Social Engineering,7,73.26
Man-in-the-Middle,Telecommunications,521871,Insider,Social Engineering,6,92.88
Malware,Government,578427,Hacker Group,Weak Passwords,16,46.25
DDoS,Banking,538890,Nation-state,Zero-day,59,51.64
DDoS,Telecommunications,789067,Hacker Group,Unpatched Software,63,79.5
DDoS,IT,446331,Nation-state,Unpatched Software,17,93.96
Ransomware,Government,927623,Nation-state,Weak Passwords,29,52.85
DDoS,Telecommunications,724629,Insider,Unpatched Software,18,84.38
Ransomware,Education,21699,Insider,Weak Passwords,32,54.26
SQL Injection,Healthcare,135042,Nation-state,Weak Passwords,13,12.56
Malware,IT,884741,Nation-state,Zero-day,30,95.17
DDoS,IT,285609,Unknown,Weak Passwords,46,99.62
Ransomware,Government,755692,Nation-state,Social Engineering,46,97.5
SQL Injection,Telecommunications,241449,Unknown,Unpatched Software,27,80.14
DDoS,IT,951607,Unknown,Zero-day,58,31.5
Phishing,Government,774050,Hacker Group,Social Engineering,40,32.93
Malware,Retail,538552,Hacker Group,Weak Passwords,65,83.42
DDoS,Retail,342951,Nation-state,Zero-day,72,20.39
DDoS,Healthcare,974261,Hacker Group,Social Engineering,20,92.58
SQL Injection,Healthcare,86583,Unknown,Social Engineering,47,91.03
DDoS,Healthcare,326955,Nation-state,Zero-day,21,90.94
DDoS,Healthcare,344772,Hacker Group,Unpatched Software,5,54.41
Man-in-the-Middle,IT,568075,Unknown,Weak Passwords,22,30.93
Ransomware,Government,693509,Nation-state,Unpatched Software,70,24.43
Malware,Government,505404,Insider,Zero-day,30,25.53
Malware,IT,570159,Hacker Group,Unpatched Software,18,51.66
DDoS,Telecommunications,208313,Hacker Group,Weak Passwords,5,18.18
Phishing,Retail,916272,Nation-state,Zero-day,32,2.73
Phishing,Banking,288526,Hacker Group,Unpatched Software,66,83.27
Malware,Government,892175,Insider,Zero-day,18,54.17
Ransomware,Retail,189999,Hacker Group,Social Engineering,57,76.83
SQL Injection,Telecommunications,716114,Insider,Weak Passwords,63,78.9
Ransomware,Education,414904,Nation-state,Unpatched Software,53,32.5
SQL Injection,Banking,989592,Insider,Weak Passwords,49,77.65
Phishing,Government,389782,Insider,Social Engineering,45,60.68
Malware,Healthcare,552427,Hacker Group,Zero-day,58,67.85
Ransomware,Retail,933418,Nation-state,Zero-day,15,44.25
Man-in-the-Middle,Telecommunications,934333,Insider,Unpatched Software,60,42.88
Malware,Telecommunications,213558,Unknown,Unpatched Software,37,65.81
DDoS,Telecommunications,271388,Nation-state,Unpatched Software,36,41.37
DDoS,Government,482307,Hacker Group,Zero-day,62,88.79
Man-in-the-Middle,Telecommunications,848419,Insider,Unpatched Software,27,59.32
DDoS,Government,615305,Insider,Zero-day,6,54.7
DDoS,Telecommunications,829827,Nation-state,Weak Passwords,48,57.75
Man-in-the-Middle,Education,699194,Nation-state,Social Engineering,45,60.55
Malware,IT,82276,Insider,Zero-day,26,6.51
Phishing,IT,234055,Unknown,Weak Passwords,64,47.56
Phishing,IT,880546,Nation-state,Zero-day,39,52.47
Phishing,Education,183678,Insider,Zero-day,59,54.76
DDoS,Education,720850,Unknown,Social Engineering,17,42.64
Phishing,Banking,339645,Unknown,Weak Passwords,2,39.53
DDoS,Telecommunications,368351,Nation-state,Zero-day,48,73.27
DDoS,Banking,810930,Insider,Weak Passwords,30,88.79
DDoS,IT,966010,Unknown,Weak Passwords,20,13.99
Man-in-the-Middle,Telecommunications,104759,Hacker Group,Zero-day,12,79.88
Phishing,Banking,654122,Nation-state,Social Engineering,68,77.41
SQL Injection,Telecommunications,731625,Nation-state,Zero-day,33,87.44
Ransomware,Education,848222,Insider,Unpatched Software,16,47.32
Man-in-the-Middle,Telecommunications,437554,Insider,Weak Passwords,19,32.4
Phishing,Retail,589348,Hacker Group,Social Engineering,4,53.07
Ransomware,Retail,322146,Hacker Group,Social Engineering,70,68.95
SQL Injection,Government,432917,Hacker Group,Unpatched Software,53,42.81
DDoS,IT,64163,Unknown,Weak Passwords,7,53.91
Phishing,Retail,95873,Unknown,Unpatched Software,50,45.67
SQL Injection,Healthcare,205015,Nation-state,Unpatched Software,57,62.61
SQL Injection,Telecommunications,488501,Nation-state,Social Engineering,47,27.52
Ransomware,Retail,850758,Insider,Unpatched Software,9,16.33
SQL Injection,Healthcare,703282,Insider,Weak Passwords,2,67.42
